Actual,Predicted
126.5433333,126.27973937894755
248.91,248.87058298326122
597.92,592.3175721907869
154.0525,153.6371575323222
254.355,253.2479718507077
127.1,126.95977979943636
250.78,250.33926299160288
606.44,594.9126660960349
156.12,155.6358003862082
257.17,256.6881680980771
126.9,126.50717645591935
251.72,252.42522556623513
604.69,607.5968252466661
156.4775,156.651950847323
258.65,260.51113161840925
126.85,126.3716818024661
251.49,252.32702017494145
619.13,617.053659357283
157.0,157.3671281269078
261.37,262.48951515229
125.28,125.98980999750368
249.31,250.8481984333598
630.85,628.6254231672466
154.88,156.57006299659952
259.47,259.53599867185017
124.61,125.20910851668066
249.68,251.8835873547192
625.22,634.304551283509
162.445,159.9961410325452
260.02,263.75946230441104
124.5275,124.6941287589484
249.11,250.79977174978703
624.89,633.0338702107612
162.495,159.96730394230522
259.4625,262.6544893933645
124.445,124.41162005927318
248.54,250.08113557501642
624.56,632.1284360799789
162.545,160.30647650274648
258.905,261.65721243169696
124.3625,124.5008840647188
247.97,249.63122039192294
624.23,631.7917859214803
162.595,160.99634298811483
258.3475,261.0507133967898
124.28,123.96550081230755
247.4,248.4421536034213
623.9,631.4467041038823
162.645,161.04157623817224
125.06,124.1360036524122
247.3,247.39049000855368
605.12,610.4794666882553
167.7825,166.0117154584934
123.54,123.35404130774903
245.71,244.78867983972577
572.84,584.5345574218425
169.6975,169.5213711190629
257.79,259.7119456251042
125.89,125.0869964848134
250.79,250.6493881368292
599.05,596.606254780222
175.7825,175.2277575506611
263.04,263.5423907198772
125.8933333,124.79748297489543
251.7966667,251.11855223898144
601.0766667,594.8662304960222
175.9183333,174.84459645481752
262.2266667,263.32892842527673
125.8966667,124.80487838409987
252.8033333,251.82283942141385
603.1033333,596.4318409018799
176.0541667,174.76826055187803
261.4133333,263.19604535354495
125.9,125.71516881360625
253.81,253.12039815613915
605.13,599.135994242352
176.19,175.06022121756652
260.6,263.4784723668511
126.74,127.07155670806615
252.57,254.29803334132504
603.59,607.2696770977134
174.57,174.34345563826935
127.13,126.4104729498533
253.59,255.04490025194923
598.78,610.1009761124436
173.5825,174.15474155419696
263.6,266.8943930710244
126.11,126.47832691365453
257.24,256.27093646455677
610.12,613.843215365894
174.25,173.74797211871595
269.47,266.6904196427856
127.35,126.72802871425085
257.89,258.6999748724502
609.89,612.5746750757478
178.2525,178.0197984296588
271.45,272.68640944490215
128.3933333,126.98238320305916
258.5566667,258.6752478210605
612.49,614.8377256076617
178.8975,178.1648435220256
273.19,273.54480618477436
129.4366667,127.70505803203001
259.2233333,258.91788528611585
615.09,618.6221166388422
179.5425,178.38681353493075
130.48,129.03876333759754
259.89,259.4010571397855
617.69,622.651431590811
180.1875,179.1465081752101
274.93,274.84847548918066
129.64,129.71732534580502
258.36,259.14262815312384
599.36,607.827263502264
177.885,178.9669157407929
271.89,273.67186110036977
130.15,128.9829944230593
257.38,256.40728082712644
604.87,605.6887798189015
178.1025,177.71237375975517
131.79,131.21619653007645
260.9,259.4099473805624
616.6,616.3048888382116
186.5725,183.2405483665603
278.11,274.9203030919035
130.46,131.59893010606766
259.43,261.87749839438254
623.31,625.8796626751014
186.3875,191.00376281950048
283.38,282.1205363114304
131.0733333,130.81780312779074
260.4966667,261.3072742483939
622.4833333,623.6917773756924
185.6825,187.4617643614775
283.2866667,281.53897542162895
131.6866667,130.5014984340167
261.5633333,261.01753845807445
621.6566667,622.0497726660307
184.9775,184.29100606359
283.1933333,280.9627938387575
132.3,130.75865751485122
262.63,261.37125260569167
620.83,621.6922108827807
184.2725,181.46748850557188
283.1,280.9216402916013
133.98,132.43580622644748
265.51,265.0427951787146
623.71,627.3059227561905
188.8675,187.47647287726645
133.7,133.53017634679026
265.275,266.2723599053832
656.57,648.2006049752708
190.5725,190.93785941429158
288.12,288.4465369740545
133.41,133.3538219331037
266.69,267.7650818549844
679.82,686.7546982252214
192.055,193.28570300699474
293.21,294.6573501510904
133.11,133.77910891407433
265.02,267.5463076839234
671.87,681.7978254772413
190.31,191.56794775717293
289.6,291.76480213000457
133.6666667,133.82802192217002
266.2533333,267.5490373300767
677.4866667,683.0027879095593
193.49,193.39843629061582
290.95,292.4126247401991
134.2233333,133.74269928398581
267.4866667,267.9125124654125
683.1033333,685.0425559775609
196.67,195.4038660187896
292.3,293.19423469389636
134.78,134.72178954820885
268.72,268.84341332094283
688.72,688.2253455806942
199.85,198.07625240078417
